Country,CountryCode,year,Pop,MalePop,FemalePop,Migrants,MaleMigrants,FemaleMigrants,tot_africa,tot_asia,tot_oceania,tot_developed,tot_latam,Refugees
Algeria,12,2015,39667000,19958000,19709000,242391,132930,109461,114622,43070,0,8582,0,94144
Egypt,818,2015,91508000,46240000,45268000,491643,265054,226589,67367,205330,0,47039,912,261741
Libya,434,2015,6278000,3157000,3122000,771146,549153,221993,170202,249453,0,61744,963,25561
Morocco,504,2015,34378000,16989000,17388000,88511,44390,44121,24546,5198,0,41348,0,1560
Sudan,729,2015,40235000,20197000,20038000,503477,254530,248947,342169,2388,0,0,0,205174
Tunisia,788,2015,11254000,5561000,5692000,56701,29351,27350,20588,1870,0,12909,0,924
Western Sahara,732,2015,573000,3.00E+05,273000,5179,3059,2120,4699,0,0,268,0,NA
Botswana,72,2015,2262000,1130000,1132000,160644,87873,72771,NA,NA,NA,NA,NA,2766
Lesotho,426,2015,2135000,1057000,1078000,6572,3558,3014,3266,577,0,89,0,44
Namibia,516,2015,2459000,1197000,1262000,93888,50687,43201,NA,NA,NA,NA,NA,1519
South Africa,710,2015,54490000,26797000,27693000,3142511,1882276,1260235,2022886,107737,0,578424,9993,112192
Swaziland,748,2015,1287000,636000,651000,31579,16348,15231,24100,0,0,355,0,553
Benin,204,2015,10880000,5426000,5454000,245399,137662,107737,192554,0,0,1797,0,219
Burkina Faso,854,2015,18106000,8984000,9121000,704676,335328,369348,NA,NA,NA,NA,NA,31894
Cabo Verde,132,2015,521000,257000,264000,14924,7547,7377,9761,31,0,3165,452,NA
Cote d'Ivoire,384,2015,22702000,11546000,11155000,2175399,1204616,970783,2091618,0,0,0,0,2842
Gambia,270,2015,1991000,986000,1005000,192540,101501,91039,186955,0,0,0,0,11608
Ghana,288,2015,27410000,13635000,13774000,399471,217444,182027,NA,NA,NA,NA,NA,18450
Guinea,324,2015,12609000,6322000,6286000,228413,112583,115830,182560,7434,0,17789,1202,8766
Guinea-Bissau,624,2015,1844000,916000,929000,22333,10826,11507,19789,0,0,1301,0,8684
Liberia,430,2015,4503000,2270000,2234000,113779,64879,48900,64702,1670,0,809,0,38188
Mali,466,2015,17600000,8885000,8715000,363145,186111,177034,201775,584,0,20679,0,14525
Mauritania,478,2015,4068000,2047000,2021000,138162,80230,57932,103556,1041,0,416,225,79961
Niger,562,2015,19899000,10029000,9870000,189255,89731,99524,156001,0,0,0,0,61084
Nigeria,566,2015,182202000,92789000,89413000,1199115,657887,541228,1076442,0,0,0,0,1530
Saint Helena,654,2015,4000,NA,NA,604,335,269,NA,NA,NA,NA,NA,NA
Senegal,686,2015,15129000,7429000,7701000,263242,139689,123553,200369,2443,0,15007,626,14257
Sierra Leone,694,2015,6453000,3193000,3260000,91213,49962,41251,86274,2655,0,1250,0,2403
Togo,768,2015,7305000,3609000,3695000,276844,139298,137546,247817,517,0,1287,0,22165
Kazakhstan,398,2015,17625000,8512000,9113000,3546778,1758182,1788596,0,508681,0,3038097,0,633
Kyrgyzstan,417,2015,5940000,2940000,3.00E+06,204382,82616,121766,0,39096,0,160885,0,482
Tajikistan,762,2015,8482000,4296000,4186000,275059,118597,156462,184,32615,0,241958,23,2215
Turkmenistan,795,2015,5374000,2641000,2733000,196386,91523,104863,0,120961,0,72899,0,36
Uzbekistan,860,2015,29893000,14699000,15194000,1170899,545734,625165,0,56574,0,1037434,0,133
China,156,2015,1376049000,708977000,667072000,978046,600136,377910,NA,NA,NA,NA,NA,301052
"China, Hong Kong Special Administrative Region",344,2015,7288000,3422000,3866000,2838665,1119957,1718708,NA,NA,NA,NA,NA,184
"China, Macao Special Administrative Region",446,2015,588000,283000,305000,342703,155692,187011,NA,NA,NA,NA,NA,NA
Democratic People's Republic of Korea,408,2015,25155000,12300000,12856000,48458,24110,24348,0,40803,0,2220,3302,NA
Japan,392,2015,126573000,61559000,65015000,2043877,919259,1124618,5855,1595806,0,122437,235679,2560
Mongolia,496,2015,2959000,1465000,1494000,17620,12857,4763,0,12478,0,4537,0,3
Republic of Korea,410,2015,50293000,24995000,25298000,1327324,744777,582547,2788,1152128,0,128713,0,874
Brunei Darussalam,96,2015,423000,218000,205000,102733,58181,44552,0,98269,0,3438,0,NA
Cambodia,116,2015,15578000,7598000,7980000,73963,39854,34109,0,70066,0,958,0,104
Indonesia,360,2015,257564000,129688000,127876000,328846,189800,139046,0,208916,0,79976,0,4270
Lao People's Democratic Republic,418,2015,6802000,3385000,3417000,22244,11936,10308,0,17916,0,17,0,NA
Malaysia,458,2015,30331000,15026000,15305000,2514243,1529630,984613,967,2284253,0,33753,0,98207
Myanmar,104,2015,53897000,26335000,27562000,73308,40177,33131,0,63860,0,0,0,NA
Philippines,608,2015,100699000,50813000,49887000,211862,109783,102079,2982,72895,0,77195,1590,189
Singapore,702,2015,5604000,2765000,2839000,2543638,1122986,1420652,0,2225098,0,35928,0,3
Thailand,764,2015,67959000,33495000,34465000,3913258,1967491,1945767,167,3888236,0,23764,0,132838
Timor-Leste,626,2015,1185000,602000,583000,10834,6383,4451,0,8194,0,1058,288,0
Viet Nam,704,2015,93448000,46224000,47223000,72793,42168,30625,NA,NA,NA,NA,NA,0
Afghanistan,4,2015,32527000,16774000,15753000,382365,193445,188920,0,364151,0,0,0,300569
Bangladesh,50,2015,160996000,81277000,79719000,1422805,1233206,189599,0,1029640,0,107552,14919,232584
Bhutan,64,2015,775000,416000,359000,51106,41441,9665,0,46627,0,562,0,NA
India,356,2015,1311051000,679548000,631502000,5240960,2684680,2556280,4714,5118502,0,15402,0,198665
Iran (Islamic Republic of),364,2015,79109000,39835000,39274000,2726420,1445236,1281184,0,2484128,0,0,0,982085
Maldives,462,2015,364000,182000,181000,94086,66140,27946,49,87067,0,1565,0,NA
Nepal,524,2015,28514000,13816000,14697000,518278,160851,357427,0,497086,0,0,0,41491
Pakistan,586,2015,188925000,97052000,91873000,3628956,1854136,1774820,0,3625927,0,0,0,1610355
Sri Lanka,144,2015,20715000,9979000,10736000,38706,20245,18461,382,26260,0,10107,37,308
Armenia,51,2015,3018000,1400000,1618000,191199,77436,113763,0,144414,0,25330,0,14677
Azerbaijan,31,2015,9754000,4856000,4898000,264241,126600,137641,0,228661,0,33090,0,1380
Bahrain,48,2015,1377000,854000,524000,704137,508966,195171,94656,591180,0,5017,0,299
Cyprus,196,2015,1165000,594000,571000,196167,86980,109187,14296,55663,0,123132,723,4281
Georgia,268,2015,4.00E+06,1908000,2092000,168802,72861,95941,0,31437,0,133704,0,857
Iraq,368,2015,36423000,18437000,17986000,353881,207133,146748,20474,294924,0,273,0,271143
Israel,376,2015,8064000,3999000,4065000,2011727,912899,1098828,345631,282260,0,694648,59837,48201
Jordan,400,2015,7595000,3889000,3706000,3112026,1567177,1544849,143038,812198,0,9582,171,2751479
Kuwait,414,2015,3892000,2186000,1706000,2866136,1888220,977916,455331,2260382,0,19947,0,614
Lebanon,422,2015,5851000,2939000,2912000,1997776,959973,1037803,84058,1394623,0,1605,0,1617179
Oman,512,2015,4491000,2979000,1512000,1844978,1495360,349618,94405,1647519,0,10717,0,149
Qatar,634,2015,2235000,1624000,612000,1687640,1416361,271279,193914,1445823,0,7632,0,127
Saudi Arabia,682,2015,31540000,17836000,13704000,10185945,6938598,3247347,1217259,8625388,0,0,0,538
State of Palestine,275,2015,4668000,2367000,2302000,255507,113237,142270,19051,205831,0,7826,0,2051096
Syrian Arab Republic,760,2015,18502000,9367000,9136000,875189,447528,427661,3100,255400,0,0,0,713204
Turkey,792,2015,78666000,38675000,39991000,2964916,1514468,1450448,7088,1688476,0,1150839,958,1587374
United Arab Emirates,784,2015,9157000,6708000,2449000,8095126,6044983,2050143,1094488,6789018,0,58016,0,514
Yemen,887,2015,26832000,13553000,13279000,344131,180427,163704,290610,12766,0,0,0,241288
Belarus,112,2015,9496000,4414000,5082000,1082905,495961,586944,78,130545,0,951703,240,925
Bulgaria,100,2015,7150000,3473000,3676000,102113,47442,54671,1434,20619,0,77624,811,11046
Czech Republic,203,2015,10543000,5180000,5363000,405093,231897,173196,4986,81421,0,315642,2606,2979
Hungary,348,2015,9855000,4691000,5164000,449632,220913,228719,6214,33201,0,396661,3477,2693
Poland,616,2015,38612000,18674000,19938000,619403,257311,362092,3477,18186,0,588621,1544,16438
Republic of Moldova,498,2015,4069000,1956000,2113000,142904,50545,92359,0,8513,0,129918,0,283
Romania,642,2015,19511000,9451000,10060000,226943,119364,107579,2016,16991,0,184452,346,1996
Russian Federation,643,2015,143457000,66644000,76813000,11643276,5715211,5928065,10063,6840663,0,4785716,4282,235750
Slovakia,703,2015,5426000,2630000,2796000,177190,83714,93476,957,6208,0,168584,578,701
Ukraine,804,2015,44824000,20759000,24064000,4834898,2083230,2751668,1737,756081,0,3734805,0,3132
Channel Islands,830,2015,164000,81000,83000,82307,39338,42969,0,0,0,79174,0,NA
Denmark,208,2015,5669000,2814000,2855000,572520,277099,295421,39708,203118,0,284007,15780,17785
Estonia,233,2015,1313000,614000,698000,202348,81237,121111,160,10471,0,191440,185,81
Faeroe Islands,234,2015,48000,NA,NA,5517,2795,2722,103,403,0,4487,57,NA
Finland,246,2015,5503000,2709000,2794000,315881,160650,155231,35496,89200,0,182130,7449,11252
Iceland,352,2015,329000,165000,164000,37522,18156,19366,969,5179,0,29939,945,79
Ireland,372,2015,4688000,2340000,2348000,746260,363521,382739,46221,73145,0,613920,12039,6001
Isle of Man,833,2015,88000,NA,NA,45221,22393,22828,601,0,0,42465,0,NA
Latvia,428,2015,1971000,904000,1067000,263126,102673,160453,91,14867,0,247979,181,165
Lithuania,440,2015,2878000,1325000,1553000,136036,57203,78833,72,9007,0,126481,117,951
Norway,578,2015,5211000,2625000,2586000,741813,387098,354715,81534,199062,0,416804,27582,46106
Sweden,752,2015,9779000,4887000,4893000,1639771,810259,829512,164554,573510,0,715888,79552,114175
United Kingdom of Great Britain and Northern Ireland,826,2015,64716000,31899000,32817000,8543120,4060192,4482928,1414677,3036895,0,3512151,408602,126055
Albania,8,2015,2897000,1437000,1460000,57616,29363,28253,0,2172,0,49063,0,7839
Andorra,20,2015,70000,NA,NA,42082,22221,19861,441,399,0,37775,841,NA
Bosnia and Herzegovina,70,2015,3810000,1896000,1914000,34803,16599,18204,NA,NA,NA,NA,NA,6907
Croatia,191,2015,4240000,2045000,2195000,576883,269287,307596,676,1293,0,554006,776,560
Gibraltar,292,2015,32000,NA,NA,11065,5591,5474,996,0,0,7745,0,NA
Greece,300,2015,10955000,5345000,5609000,1242514,575927,666587,53875,279345,0,899362,7051,10304
Holy See,336,2015,1000,NA,NA,800,374,426,0,0,0,0,0,NA
Italy,380,2015,59798000,29070000,30728000,5788875,2608451,3180424,997650,865625,0,3236454,607726,76263
Malta,470,2015,419000,208000,210000,41442,21969,19473,4538,2888,0,31831,171,9906
Montenegro,499,2015,626000,309000,317000,82541,33547,48994,0,88,0,81480,0,NA
Portugal,620,2015,10350000,4901000,5449000,837257,389537,447720,290138,30437,0,296242,158493,598
San Marino,674,2015,32000,NA,NA,4717,2577,2140,0,0,0,4446,94,NA
Serbia,688,2015,8851000,4320000,4531000,807441,355180,452261,458,3840,0,801754,275,43763
Slovenia,705,2015,2068000,1025000,1043000,235966,134491,101475,440,2037,0,231924,1028,235
Spain,724,2015,46122000,22624000,23498000,5852953,2855179,2997774,961301,360188,0,2308584,2130025,4637
The former Yugoslav Republic of Macedonia,807,2015,2078000,1035000,1044000,130730,54496,76234,1964,19922,0,107316,0,646
Austria,40,2015,8545000,4196000,4348000,1492374,716470,775904,46133,306035,0,1117728,20531,78947
Belgium,56,2015,11299000,5559000,5740000,1387940,715142,672798,209737,152659,0,981167,23510,29179
France,250,2015,64395000,31342000,33054000,7784418,3782619,4001799,3630599,981498,0,2744522,275042,252264
Germany,276,2015,80689000,39653000,41036000,12005690,5709939,6295751,414564,4003569,0,7348514,224771,216973
Liechtenstein,438,2015,38000,NA,NA,23493,11428,12065,52,884,0,21827,326,97
Luxembourg,442,2015,567000,285000,282000,249325,126180,123145,820,2401,0,243376,631,920
Monaco,492,2015,38000,NA,NA,21042,10326,10716,NA,NA,NA,NA,NA,34
Netherlands,528,2015,16925000,8401000,8524000,1979486,942478,1037008,312931,631814,0,664970,261180,74707
Switzerland,756,2015,8299000,4109000,4189000,2438702,1195043,1243659,125985,278924,0,1756588,127735,57783
Anguilla,660,2015,15000,NA,NA,5470,2593,2877,0,0,0,1102,2047,NA
Antigua and Barbuda,28,2015,92000,44000,48000,28083,12524,15559,216,512,0,4317,15772,NA
Aruba,533,2015,104000,49000,55000,36114,16108,20006,0,2461,0,5361,23104,NA
Bahamas,44,2015,388000,190000,198000,59306,29994,29312,417,1985,0,14954,38954,28
Barbados,52,2015,284000,136000,148000,34475,15488,18987,0,506,0,4256,14967,NA
"Bonaire, Sint Eustatius and Saba",535,2015,25000,NA,NA,13002,6292,6710,NA,NA,NA,NA,NA,NA
British Virgin Islands,92,2015,30000,NA,NA,17308,8530,8778,0,62,0,2496,6661,3
Cayman Islands,136,2015,60000,NA,NA,23726,12143,11583,144,2423,0,6792,14089,6
Cuba,192,2015,11390000,5722000,5668000,13336,5950,7386,136,329,0,8882,3065,280
Curacao,531,2015,157000,73000,85000,37611,15467,22144,0,1671,0,11255,20614,37
Dominica,212,2015,73000,NA,NA,6720,3528,3192,50,116,0,1567,2766,NA
Dominican Republic,214,2015,10528000,5246000,5282000,415564,251890,163674,234,2796,0,45855,357333,615
Grenada,308,2015,107000,54000,53000,7057,3502,3555,NA,NA,NA,NA,NA,NA
Guadeloupe,312,2015,468000,217000,252000,98507,43858,54649,156,750,0,59777,27569,NA
Haiti,332,2015,10711000,5297000,5414000,39529,22774,16755,0,721,0,14224,21173,3
Jamaica,388,2015,2793000,1391000,1402000,23167,11766,11401,0,1127,0,12245,6406,23
Martinique,474,2015,396000,182000,215000,61731,26989,34742,102,311,0,47463,11285,NA
Montserrat,500,2015,5000,NA,NA,1351,696,655,0,0,0,263,340,NA
Puerto Rico,630,2015,3683000,1771000,1913000,274972,128261,146711,35,1647,0,168257,87941,NA
Saint Kitts and Nevis,659,2015,56000,NA,NA,7443,3916,3527,0,0,0,0,2148,NA
Saint Lucia,662,2015,185000,91000,94000,12771,6446,6325,51,221,0,2118,4655,5
Saint Vincent and the Grenadines,670,2015,109000,55000,54000,4577,2237,2340,NA,NA,NA,NA,NA,NA
Sint Maarten (Dutch part),534,2015,39000,NA,NA,27295,13077,14218,0,1389,0,1222,16334,NA
Trinidad and Tobago,780,2015,1360000,671000,689000,49883,24326,25557,502,2171,0,10196,28471,57
Turks and Caicos Islands,796,2015,34000,NA,NA,11688,6047,5641,0,0,0,1605,8133,NA
United States Virgin Islands,850,2015,106000,51000,56000,56721,26728,29993,0,0,0,16861,16518,NA
Belize,84,2015,359000,179000,180000,53860,27092,26768,44,2423,0,5324,44438,10
Costa Rica,188,2015,4808000,2406000,2402000,421697,202613,219084,159,4730,0,26281,375881,20620
El Salvador,222,2015,6127000,2875000,3251000,42045,19996,22049,0,492,0,7302,33963,35
Guatemala,320,2015,16343000,7993000,8350000,76352,36136,40216,32,2885,0,12436,60321,164
Honduras,340,2015,8075000,4036000,4039000,28070,14826,13244,0,629,0,6483,20591,26
Mexico,484,2015,127017000,63181000,63836000,1193155,604669,588486,1461,24388,0,963281,196721,1831
Nicaragua,558,2015,6082000,2998000,3084000,40262,20723,19539,491,341,0,5942,31414,223
Panama,591,2015,3929000,1970000,1959000,184710,94841,89869,NA,NA,NA,NA,NA,17073
Argentina,32,2015,43417000,21245000,22172000,2086302,960310,1125992,NA,NA,NA,NA,NA,4278
Bolivia (Plurinational State of),68,2015,10725000,5371000,5354000,142989,74939,68050,NA,NA,NA,NA,NA,756
Brazil,76,2015,207848000,102201000,105647000,713568,385201,328367,20029,60993,0,404061,190404,7490
Chile,152,2015,17948000,8855000,9093000,469436,221200,248236,21171,13385,0,66778,364268,1752
Colombia,170,2015,48229000,23744000,24485000,133134,70912,62222,391,5309,0,40238,85527,258
Ecuador,218,2015,16144000,8071000,8073000,387513,200352,187161,508,6375,0,59665,248549,122161
Falkland Islands (Malvinas),238,2015,3000,NA,NA,1571,873,698,NA,NA,NA,NA,NA,NA
French Guiana,254,2015,269000,134000,134000,106108,50399,55709,NA,NA,NA,NA,NA,0
Guyana,328,2015,767000,385000,382000,15384,8229,7155,NA,NA,NA,NA,NA,11
Paraguay,600,2015,6639000,3369000,3270000,156462,81303,75159,0,3327,0,10918,135494,135
Peru,604,2015,31377000,15673000,15704000,90881,45805,45076,208,6324,0,35457,46923,1229
Suriname,740,2015,543000,272000,271000,46836,25569,21267,NA,NA,NA,NA,NA,3
Uruguay,858,2015,3432000,1656000,1775000,71799,32475,39324,0,0,0,29855,38446,205
Venezuela (Bolivarian Republic of),862,2015,31108000,15487000,15621000,1404448,703458,700990,1844,41225,0,212963,1141781,204685
Bermuda,60,2015,62000,NA,NA,19126,9336,9790,575,1583,0,13335,2510,NA
Canada,124,2015,35940000,17826000,18114000,7835502,3748267,4087235,NA,NA,NA,NA,NA,160279
Greenland,304,2015,56000,NA,NA,6009,3951,2058,0,298,0,5150,0,NA
Saint Pierre and Miquelon,666,2015,6000,NA,NA,986,516,470,0,0,0,967,0,NA
United States of America,840,2015,321774000,159494000,162280000,46627102,22824307,23802795,1643415,11632882,0,6367686,23517084,263662
Australia,36,2015,23969000,11976000,11993000,6763663,3337580,3426083,416640,2559292,0,3424942,127354,48005
New Zealand,554,2015,4529000,2213000,2315000,1039736,502787,536949,71655,316551,0,446945,9198,1403
Fiji,242,2015,892000,454000,439000,13751,7421,6330,0,5407,0,2834,0,13
New Caledonia,540,2015,263000,133000,130000,64290,34621,29669,2407,3761,0,38981,0,NA
Papua New Guinea,598,2015,7619000,3887000,3733000,25782,16738,9044,28,10319,0,13869,0,4797
Solomon Islands,90,2015,584000,296000,287000,2585,1450,1135,0,525,0,449,0,NA
Vanuatu,548,2015,265000,134000,131000,3187,1583,1604,0,0,0,1590,0,2
Guam,316,2015,170000,86000,84000,76089,39246,36843,0,34506,0,20608,3950,NA
Kiribati,296,2015,112000,55000,57000,3153,1662,1491,0,0,0,201,0,NA
Marshall Islands,584,2015,53000,NA,NA,3284,2011,1273,0,859,0,1430,0,NA
Micronesia (Federated States of),583,2015,104000,54000,51000,2756,1473,1283,0,193,0,220,0,NA
Nauru,520,2015,10000,NA,NA,3178,1907,1271,NA,NA,NA,NA,NA,389
Northern Mariana Islands,580,2015,55000,NA,NA,21648,9100,12548,NA,NA,NA,NA,NA,NA
Palau,585,2015,21000,NA,NA,5664,3214,2450,0,3575,0,505,0,1
American Samoa,16,2015,56000,NA,NA,23216,11898,11318,0,2193,0,3232,0,NA
Cook Islands,184,2015,21000,NA,NA,4152,2078,2074,0,0,0,3090,0,NA
French Polynesia,258,2015,283000,144000,138000,30058,17136,12922,681,670,0,22461,0,NA
Niue,570,2015,2000,NA,NA,557,302,255,0,0,0,212,0,NA
Samoa,882,2015,193000,1.00E+05,94000,4929,2469,2460,0,59,0,2335,0,NA
Tokelau,772,2015,1000,NA,NA,487,233,254,0,0,0,218,0,NA
Tonga,776,2015,106000,53000,53000,5731,3127,2604,0,451,0,110,0,NA
Tuvalu,798,2015,10000,NA,NA,141,78,63,0,0,0,17,0,NA
Wallis and Futuna Islands,876,2015,13000,NA,NA,2849,1438,1411,NA,NA,NA,NA,NA,NA
Burundi,108,2010,9461000,4667000,4794000,235259,115823,119436,214957,0,0,745,0,29365
Comoros,174,2010,699000,352000,346000,12618,6060,6558,9912,0,0,486,0,0
Djibouti,262,2010,831000,417000,413000,101575,53295,48280,95259,240,0,0,0,15104
Eritrea,232,2010,4690000,2344000,2346000,15676,8603,7073,11287,250,0,485,0,4809
Ethiopia,231,2010,87562000,43697000,43865000,567720,297534,270186,388505,118,0,0,0,154295
Kenya,404,2010,40328000,20159000,20169000,926959,459343,467616,814544,0,0,0,0,402905
Madagascar,450,2010,21080000,10500000,10580000,28905,16410,12495,9876,3209,0,8066,0,0
Malawi,454,2010,14770000,7356000,7413000,217722,103869,113853,166423,2419,0,1478,0,5740
Mauritius,480,2010,1248000,619000,629000,24836,13188,11648,2520,18531,0,2338,0,NA
Mayotte,175,2010,209000,102000,107000,72757,34500,38257,61750,0,0,9498,0,NA
Mozambique,508,2010,24321000,11821000,12500000,214612,104676,109936,130532,3579,0,4256,0,4077
Reunion,638,2010,831000,402000,428000,123029,62707,60322,29540,0,0,81294,0,NA
Rwanda,646,2010,10294000,4915000,5379000,436787,218425,218362,417680,0,0,0,0,65574
Seychelles,690,2010,93000,47000,46000,11420,7804,3616,2010,8158,0,846,39,NA
Somalia,706,2010,9582000,4764000,4818000,23995,12914,11081,1919,0,0,0,0,1937
South Sudan,728,2010,10056000,5027000,5030000,257905,132693,125212,253710,1454,0,0,0,NA
Uganda,800,2010,33149000,16553000,16596000,529160,261646,267514,515866,5699,0,4536,0,135801
United Republic of Tanzania,834,2010,45649000,22666000,22983000,308600,153984,154616,288925,8264,0,4030,0,109286
Zambia,894,2010,13917000,6943000,6975000,149637,75775,73862,122078,5637,0,3148,0,47857
Zimbabwe,716,2010,13974000,6905000,7069000,397891,226967,170924,274068,0,0,12174,0,4435
Angola,24,2010,21220000,10513000,10707000,76549,37113,39436,45810,0,0,11125,0,15155
Cameroon,120,2010,20591000,10288000,10302000,289091,160164,128927,274589,0,0,5620,0,104275
Central African Republic,140,2010,4445000,2189000,2256000,93466,49743,43723,54142,16,0,12366,0,21574
Chad,148,2010,11896000,5950000,5947000,416924,186773,230151,404256,0,0,852,0,347939
Congo,178,2010,4066000,2033000,2033000,419649,228180,191469,397828,1573,0,11348,403,133112
Democratic Republic of the Congo,180,2010,65939000,32833000,33106000,588950,284244,304706,423968,0,0,0,0,166336
Equatorial Guinea,226,2010,729000,374000,355000,8658,4734,3924,2324,0,0,4672,0,NA
Gabon,266,2010,1542000,778000,764000,243992,139458,104534,223361,1913,0,10319,0,9015
Sao Tome and Principe,678,2010,171000,85000,86000,2700,1352,1348,968,0,0,134,0,NA
Algeria,12,2010,36036000,18151000,17885000,244964,134339,110625,115839,43528,0,8673,0,94144
Egypt,818,2010,82041000,41405000,40636000,295714,166071,129643,54683,56444,0,39658,768,95056
Libya,434,2010,6266000,3207000,3058000,683998,489737,194261,150969,221264,0,54774,855,7923
Morocco,504,2010,32108000,15803000,16305000,70909,35738,35171,18308,3877,0,35742,0,792
Sudan,729,2010,36115000,18120000,17995000,578363,294782,283581,347281,2611,0,0,0,144008
Tunisia,788,2010,10639000,5276000,5363000,43172,22236,20936,15900,1278,0,9965,0,112
Western Sahara,732,2010,512000,270000,242000,4493,2612,1881,4079,0,0,233,0,NA
Botswana,72,2010,2048000,1023000,1025000,120912,66692,54220,NA,NA,NA,NA,NA,2986
Lesotho,426,2010,2011000,988000,1023000,6414,3469,2945,3189,564,0,87,0,0
Namibia,516,2010,2194000,1064000,1129000,102405,55054,47351,NA,NA,NA,NA,NA,7254
South Africa,710,2010,51622000,25322000,26300000,1943099,1135886,807213,1356943,79527,0,444190,7685,57899
Swaziland,748,2010,1193000,587000,607000,30476,15856,14620,23971,0,0,312,0,759
Benin,204,2010,9510000,4731000,4778000,209267,116139,93128,164203,0,0,1532,0,7139
Burkina Faso,854,2010,15632000,7737000,7895000,673904,320684,353220,NA,NA,NA,NA,NA,531
Cabo Verde,132,2010,490000,241000,249000,14373,7293,7080,9399,30,0,3050,435,NA
Cote d'Ivoire,384,2010,20132000,10279000,9853000,2095185,1160366,934819,2014493,0,0,0,0,26218
Gambia,270,2010,1693000,838000,855000,185763,98086,87677,180372,0,0,0,0,8378
Ghana,288,2010,24318000,12035000,12283000,337017,181558,155459,NA,NA,NA,NA,NA,13828
Guinea,324,2010,11012000,5513000,5500000,205111,100953,104158,163927,6678,0,15978,1081,14113
Guinea-Bissau,624,2010,1634000,811000,823000,21061,10307,10754,18662,0,0,1227,0,7679
Liberia,430,2010,3958000,1990000,1968000,99129,56885,42244,63555,1583,0,1397,0,24735
Mali,466,2010,15167000,7644000,7523000,336607,172879,163728,185549,542,0,19169,0,13558
Mauritania,478,2010,3591000,1805000,1786000,84679,48605,36074,54460,1022,0,416,225,26717
Niger,562,2010,16292000,8202000,8090000,126464,60033,66431,114944,0,0,0,0,314
Nigeria,566,2010,159425000,81051000,78374000,920118,506367,413751,825990,0,0,0,0,8747
Saint Helena,654,2010,4000,NA,NA,569,312,257,NA,NA,NA,NA,NA,NA
Senegal,686,2010,12957000,6344000,6613000,256092,135879,120213,194926,2377,0,14600,609,22849
Sierra Leone,694,2010,5776000,2852000,2924000,97452,53239,44213,92489,2668,0,1257,0,8363
Togo,768,2010,6391000,3148000,3243000,255262,129280,125982,230213,459,0,1397,0,14051
Kazakhstan,398,2010,16311000,7862000,8449000,3334623,1625026,1709597,0,478253,0,2856370,0,4406
